ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,shares_outstanding
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0001652044,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,California,12088000000.0
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,0000040987,Genuine Parts Company,Consumer Discretionary,Distributors,Georgia,137617832.0
GPN,Global Payments,Financials,Transaction & Payment Processing Services,0001123360,Global Payments,Financials,Transaction & Payment Processing Services,Georgia,236692592.0
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0001121788,Garmin,Consumer Discretionary,Consumer Electronics,Switzerland,192620000.0
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,0000886982,Goldman Sachs,Financials,Investment Banking & Brokerage,New York,296476742.0
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,0000277135,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,Illinois,48000000.0
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0000045012,Halliburton,Energy,Oil & Gas Equipment & Services,Texas,835000000.0
HAS,Hasbro,Consumer Discretionary,Leisure Products,0000046080,Hasbro,Consumer Discretionary,Leisure Products,Rhode Island,140200000.0
HBAN,Huntington Bancshares,Financials,Regional Banks,0000049196,Huntington Bancshares,Financials,Regional Banks,Michigan,1567732506.0
HCA,HCA Healthcare,Health Care,Health Care Facilities,0000860730,HCA Healthcare,Health Care,Health Care Facilities,Tennessee,224605100.0
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,0000354950,Home Depot (The),Consumer Discretionary,Home Improvement Retail,Georgia,996000000.0
HIG,Hartford (The),Financials,Property & Casualty Insurance,0000874766,Hartford (The),Financials,Property & Casualty Insurance,Connecticut,286500000.0
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0001501585,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Virginia,39241527.0
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001585689,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Virginia,230433192.0
HON,Honeywell Technologies,Industrials,Industrial Conglomerates,0000773840,Honeywell Technologies,Industrials,Industrial Conglomerates,North Carolina,635300000.0
HONA,Honeywell Aerospace,Industrials,Aerospace & Defense,0002089271,Honeywell Aerospace,Industrials,Aerospace & Defense,Arizona,
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,0001783879,Robinhood Markets,Financials,Investment Banking & Brokerage,California,918781846.0
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0001645590,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Texas,1318292428.0
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000047217,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",California,921000000.0
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,0000048465,Hormel Foods,Consumer Staples,Packaged Foods & Meats,Minnesota,550496000.0
HSIC,Henry Schein,Health Care,Health Care Distributors,0001000228,Henry Schein,Health Care,Health Care Distributors,New York,115771149.0
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,0001070750,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Maryland,687800000.0
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,0000047111,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,Pennsylvania,202839656.0
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,0000048898,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,Connecticut,53253805.0
HUM,Humana,Health Care,Managed Health Care,0000049071,Humana,Health Care,Managed Health Care,Kentucky,120826000.0
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0000004281,Howmet Aerospace,Industrials,Aerospace & Defense,Pennsylvania,401620565.0
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,0001381197,Interactive Brokers,Financials,Investment Banking & Brokerage,Connecticut,443859546.0
IBM,IBM,Information Technology,IT Consulting & Other Services,0000051143,IBM,Information Technology,IT Consulting & Other Services,New York,936952129.0
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0001571949,Intercontinental Exchange,Financials,Financial Exchanges & Data,Georgia,567000000.0
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,0000874716,Idexx Laboratories,Health Care,Health Care Equipment,Maine,79712000.0
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,0000832101,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,Illinois,75300000.0
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,0000051253,International Flavors & Fragrances,Materials,Specialty Chemicals,New York,255700000.0
INCY,Incyte,Health Care,Biotechnology,0000879169,Incyte,Health Care,Biotechnology,Delaware,198460009.0
INTC,Intel,Information Technology,Semiconductors,0000050863,Intel,Information Technology,Semiconductors,California,4994000000.0
INTU,Intuit,Information Technology,Application Software,0000896878,Intuit,Information Technology,Application Software,California,279129000.0
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,0001687229,Invitation Homes,Real Estate,Single-Family Residential REITs,Texas,610788732.0
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,0000051434,International Paper,Materials,Paper & Plastic Packaging Products & Materials,Tennessee,627000000.0
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0001478242,IQVIA,Health Care,Life Sciences Tools & Services,North Carolina,169600000.0
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,0001699150,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,North Carolina,391121689.0
IRM,Iron Mountain,Real Estate,Other Specialized REITs,0001020569,Iron Mountain,Real Estate,Other Specialized REITs,New Hampshire,295788645.0
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0001035267,Intuitive Surgical,Health Care,Health Care Equipment,California,355100000.0
IT,Gartner,Information Technology,IT Consulting & Other Services,0000749251,Gartner,Information Technology,IT Consulting & Other Services,Connecticut,75605000.0
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,0000049826,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,Illinois,288600000.0
IVZ,Invesco,Financials,Asset Management & Custody Banks,0000914208,Invesco,Financials,Asset Management & Custody Banks,Georgia,444000000.0
J,Jacobs Solutions,Industrials,Construction & Engineering,0000052988,Jacobs Solutions,Industrials,Construction & Engineering,Texas,119081294.0
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,0000728535,J.B. Hunt,Industrials,Cargo Ground Transportation,Arkansas,94594725.0
JBL,Jabil,Information Technology,Electronic Manufacturing Services,0000898293,Jabil,Information Technology,Electronic Manufacturing Services,Florida,107480895.0
JCI,Johnson Controls,Industrials,Building Products,0000833444,Johnson Controls,Industrials,Building Products,Ireland,654100000.0
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,0000779152,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,Missouri,73045000.0
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0000200406,Johnson & Johnson,Health Care,Pharmaceuticals,New Jersey,2429400000.0
JPM,JPMorgan Chase,Financials,Diversified Banks,0000019617,JPMorgan Chase,Financials,Diversified Banks,New York,2696200000.0
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0001418135,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Massachusetts,1358663795.0
KEY,KeyCorp,Financials,Regional Banks,0000091576,KeyCorp,Financials,Regional Banks,Ohio,1107994000.0
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0001601046,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,California,173000000.0
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,0001637459,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,Pennsylvania,1184000000.0
KIM,Kimco Realty,Real Estate,Retail REITs,0000879101,Kimco Realty,Real Estate,Retail REITs,New York,674093047.0
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,0001404912,KKR & Co.,Financials,Asset Management & Custody Banks,New York,891451844.0
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,0000319201,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,California,1320227000.0
KMB,Kimberly-Clark,Consumer Staples,Household Products,0000055785,Kimberly-Clark,Consumer Staples,Household Products,Texas,331900000.0
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0001506307,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,Texas,2224777750.0
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0000021344,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Georgia,4313000000.0
KR,Kroger,Consumer Staples,Food Retail,0000056873,Kroger,Consumer Staples,Food Retail,Ohio,655000000.0
KVUE,Kenvue,Consumer Staples,Personal Care Products,0001944048,Kenvue,Consumer Staples,Personal Care Products,New Jersey,1916115445.0
L,Loews Corporation,Financials,Multi-line Insurance,0000060086,Loews Corporation,Financials,Multi-line Insurance,New York,209100000.0
LDOS,Leidos,Industrials,Diversified Support Services,0001336920,Leidos,Industrials,Diversified Support Services,Virginia,126380657.0
LEN,Lennar,Consumer Discretionary,Homebuilding,0000920760,Lennar,Consumer Discretionary,Homebuilding,Florida,
LH,Labcorp,Health Care,Health Care Services,0000920148,Labcorp,Health Care,Health Care Services,North Carolina,82200000.0
LHX,L3Harris,Industrials,Aerospace & Defense,0000202058,L3Harris,Industrials,Aerospace & Defense,Florida,186844093.0
LII,Lennox International,Industrials,Building Products,0001069202,Lennox International,Industrials,Building Products,Texas,35400000.0
LIN,Linde plc,Materials,Industrial Gases,0001707925,Linde plc,Materials,Industrial Gases,United Kingdom,472195000.0
LITE,Lumentum,Information Technology,Communications Equipment,0001633978,Lumentum,Information Technology,Communications Equipment,California,69800000.0
LLY,Lilly (Eli),Health Care,Pharmaceuticals,0000059478,Lilly (Eli),Health Care,Pharmaceuticals,Indiana,899300000.0
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0000936468,Lockheed Martin,Industrials,Aerospace & Defense,Maryland,229000000.0
LNT,Alliant Energy,Utilities,Electric Utilities,0000352541,Alliant Energy,Utilities,Electric Utilities,Wisconsin,257137261.0
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,0000060667,Lowe's,Consumer Discretionary,Home Improvement Retail,North Carolina,561000000.0
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,0000707549,Lam Research,Information Technology,Semiconductor Materials & Equipment,California,1268740000.0
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0001397187,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Canada,111380000.0
LUV,Southwest Airlines,Industrials,Passenger Airlines,0000092380,Southwest Airlines,Industrials,Passenger Airlines,Texas,558000000.0
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,0001300514,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Nevada,675000000.0
LYB,LyondellBasell,Materials,Specialty Chemicals,0001489393,LyondellBasell,Materials,Specialty Chemicals,Netherlands,322084769.0
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0001335258,Live Nation Entertainment,Communication Services,Movies & Entertainment,California,235421446.0
MA,Mastercard,Financials,Transaction & Payment Processing Services,0001141391,Mastercard,Financials,Transaction & Payment Processing Services,New York,906000000.0
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,0000912595,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,Tennessee,116878077.0
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001048286,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Maryland,265864771.0
MAS,Masco,Industrials,Building Products,0000062996,Masco,Industrials,Building Products,Michigan,204300000.0
MCD,McDonald's,Consumer Discretionary,Restaurants,0000063908,McDonald's,Consumer Discretionary,Restaurants,Illinois,716.4
MCHP,Microchip Technology,Information Technology,Semiconductors,0000827054,Microchip Technology,Information Technology,Semiconductors,Arizona,542079011.0
MCK,McKesson Corporation,Health Care,Health Care Distributors,0000927653,McKesson Corporation,Health Care,Health Care Distributors,Texas,124100000.0
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,0001059556,Moody's Corporation,Financials,Financial Exchanges & Data,New York,179900000.0
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0001103982,Mondelez International,Consumer Staples,Packaged Foods & Meats,Illinois,1298000000.0
MDT,Medtronic,Health Care,Health Care Equipment,0001613103,Medtronic,Health Care,Health Care Equipment,Ireland,1280177293.0
MET,MetLife,Financials,Life & Health Insurance,0001099219,MetLife,Financials,Life & Health Insurance,New York,655333773.0
META,Meta Platforms,Communication Services,Interactive Media & Services,0001326801,Meta Platforms,Communication Services,Interactive Media & Services,California,2574000000.0
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,0000789570,MGM Resorts,Consumer Discretionary,Casinos & Gaming,Nevada,258323143.0
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,0000063754,McCormick & Company,Consumer Staples,Packaged Foods & Meats,Maryland,269400000.0
MLM,Martin Marietta Materials,Materials,Construction Materials,0000916076,Martin Marietta Materials,Materials,Construction Materials,North Carolina,60309739.0
MMM,3M,Industrials,Industrial Conglomerates,0000066740,3M,Industrials,Industrial Conglomerates,Minnesota,530279131.0
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0000865752,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,California,978113000.0
MO,Altria,Consumer Staples,Tobacco,0000764180,Altria,Consumer Staples,Tobacco,Virginia,1674318297.0
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,0001285785,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,Florida,317408647.0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0001510295,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,Ohio,306000000.0
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0001280452,Monolithic Power Systems,Information Technology,Semiconductors,Washington,47892000.0
MRK,Merck & Co.,Health Care,Pharmaceuticals,0000310158,Merck & Co.,Health Care,Pharmaceuticals,New Jersey,2507000000.0
MRNA,Moderna,Health Care,Biotechnology,0001682852,Moderna,Health Care,Biotechnology,Massachusetts,394000000.0
MRSH,Marsh McLennan,Financials,Insurance Brokers,0000062709,Marsh McLennan,Financials,Insurance Brokers,New York,485000000.0
MRVL,Marvell Technology,Information Technology,Semiconductors,0001835632,Marvell Technology,Information Technology,Semiconductors,California,847300000.0
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0000895421,Morgan Stanley,Financials,Investment Banking & Brokerage,New York,1582834137.0
MSCI,MSCI,Financials,Financial Exchanges & Data,0001408198,MSCI,Financials,Financial Exchanges & Data,New York,73563183.0
MSFT,Microsoft,Information Technology,Systems Software,0000789019,Microsoft,Information Technology,Systems Software,Washington,7434000000.0
MSI,Motorola Solutions,Information Technology,Communications Equipment,0000068505,Motorola Solutions,Information Technology,Communications Equipment,Illinois,165700000.0
MTB,M&T Bank,Financials,Regional Banks,0000036270,M&T Bank,Financials,Regional Banks,New York,158791000.0
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0001037646,Mettler Toledo,Health Care,Life Sciences Tools & Services,Ohio,20359353.0
MU,Micron Technology,Information Technology,Semiconductors,0000723125,Micron Technology,Information Technology,Semiconductors,Idaho,1122000000.0
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001513761,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Florida,455257489.0
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,0001120193,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,New York,569894024.0
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,0000072331,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Ohio,55920000.0
NEE,NextEra Energy,Utilities,Multi-Utilities,0000753308,NextEra Energy,Utilities,Multi-Utilities,Florida,2083000000.0
NEM,Newmont,Materials,Gold,0001164727,Newmont,Materials,Gold,Colorado,1089000000.0
NFLX,Netflix,Communication Services,Movies & Entertainment,0001065280,Netflix,Communication Services,Movies & Entertainment,California,4222162150.0
NI,NiSource,Utilities,Multi-Utilities,0001111711,NiSource,Utilities,Multi-Utilities,Indiana,478432058.0
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0000320187,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Oregon,1481000000.0
NOC,Northrop Grumman,Industrials,Aerospace & Defense,0001133421,Northrop Grumman,Industrials,Aerospace & Defense,Virginia,141997194.0
NOW,ServiceNow,Information Technology,Systems Software,0001373715,ServiceNow,Information Technology,Systems Software,California,1047278000.0
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,0001013871,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Texas,190376607.0
NSC,Norfolk Southern,Industrials,Rail Transportation,0000702165,Norfolk Southern,Industrials,Rail Transportation,Georgia,224420699.0
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",0001002047,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",California,196000000.0
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,0000073124,Northern Trust,Financials,Asset Management & Custody Banks,Illinois,186337588.0
NUE,Nucor,Materials,Steel,0000073309,Nucor,Materials,Steel,North Carolina,231000000.0
NVDA,Nvidia,Information Technology,Semiconductors,0001045810,Nvidia,Information Technology,Semiconductors,California,24304000000.0
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,0000906163,"NVR, Inc.",Consumer Discretionary,Homebuilding,Virginia,2799387.0
NWS,News Corp (Class B),Communication Services,Publishing,0001564708,News Corp (Class B),Communication Services,Publishing,New York,569900000.0
NXPI,NXP Semiconductors,Information Technology,Semiconductors,0001413447,NXP Semiconductors,Information Technology,Semiconductors,Netherlands,254331000.0
O,Realty Income,Real Estate,Retail REITs,0000726728,Realty Income,Real Estate,Retail REITs,California,933975000.0
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,0000878927,Old Dominion,Industrials,Cargo Ground Transportation,North Carolina,208556788.0
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,0001039684,Oneok,Energy,Oil & Gas Storage & Transportation,Oklahoma,629707691.0
OMC,Omnicom Group,Communication Services,Advertising,0000029989,Omnicom Group,Communication Services,Advertising,New York,313100000.0
ON,ON Semiconductor,Information Technology,Semiconductors,0001097864,ON Semiconductor,Information Technology,Semiconductors,Arizona,396740551.0
ORCL,Oracle Corporation,Information Technology,Application Software,0001341439,Oracle Corporation,Information Technology,Application Software,Texas,2880000000.0
ORLY,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,0000898173,O'Reilly Automotive,Consumer Discretionary,Automotive Retail,Missouri,841909238.0
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,0001781335,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Connecticut,394900000.0
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0000797468,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Texas,984416165.0
PANW,Palo Alto Networks,Information Technology,Systems Software,0001327567,Palo Alto Networks,Information Technology,Systems Software,California,668000000.0
PAYX,Paychex,Industrials,Human Resource & Employment Services,0000723531,Paychex,Industrials,Human Resource & Employment Services,New York,355600000.0
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,0000075362,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,Washington,526800000.0
PCG,PG&E Corporation,Utilities,Multi-Utilities,0001004980,PG&E Corporation,Utilities,Multi-Utilities,California,2197942874.0
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,0000788784,Public Service Enterprise Group,Utilities,Electric Utilities,New Jersey,498000000.0
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,0000077476,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,New York,1373000000.0
PFE,Pfizer,Health Care,Pharmaceuticals,0000078003,Pfizer,Health Care,Pharmaceuticals,New York,5713000000.0
PFG,Principal Financial Group,Financials,Life & Health Insurance,0001126328,Principal Financial Group,Financials,Life & Health Insurance,Iowa,217380912.0
PG,Procter & Gamble,Consumer Staples,Personal Care Products,0000080424,Procter & Gamble,Consumer Staples,Personal Care Products,Ohio,2454400000.0
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,0000080661,Progressive Corporation,Financials,Property & Casualty Insurance,Ohio,588100000.0
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,0000076334,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,Ohio,130200000.0
PHM,PulteGroup,Consumer Discretionary,Homebuilding,0000822416,PulteGroup,Consumer Discretionary,Homebuilding,Georgia,192724978.0
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,0000075677,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,Illinois,89600000.0
PLD,Prologis,Real Estate,Industrial REITs,0001045609,Prologis,Real Estate,Industrial REITs,California,929153000.0
PLTR,Palantir Technologies,Information Technology,Application Software,0001321655,Palantir Technologies,Information Technology,Application Software,Florida,2391192000.0
PM,Philip Morris International,Consumer Staples,Tobacco,0001413329,Philip Morris International,Consumer Staples,Tobacco,New York,1558000000.0
PNC,PNC Financial Services,Financials,Diversified Banks,0000713676,PNC Financial Services,Financials,Diversified Banks,Pennsylvania,396000000.0
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,0000077360,Pentair,Industrials,Industrial Machinery & Supplies & Components,United Kingdom,165500000.0
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,0000764622,Pinnacle West Capital,Utilities,Multi-Utilities,Arizona,121971000.0
PODD,Insulet Corporation,Health Care,Health Care Equipment,0001145197,Insulet Corporation,Health Care,Health Care Equipment,Massachusetts,70390816.0
PPG,PPG Industries,Materials,Specialty Chemicals,0000079879,PPG Industries,Materials,Specialty Chemicals,Pennsylvania,223426948.0
PPL,PPL Corporation,Utilities,Electric Utilities,0000922224,PPL Corporation,Utilities,Electric Utilities,Pennsylvania,751041000.0
PRU,Prudential Financial,Financials,Life & Health Insurance,0001137774,Prudential Financial,Financials,Life & Health Insurance,New Jersey,353700000.0
PSA,Public Storage,Real Estate,Self-Storage REITs,0001393311,Public Storage,Real Estate,Self-Storage REITs,California,175902000.0
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,0002041610,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,California,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0001534701,Phillips 66,Energy,Oil & Gas Refining & Marketing,Texas,408053000.0
PTC,PTC Inc.,Information Technology,Application Software,0000857005,PTC Inc.,Information Technology,Application Software,Massachusetts,119536000.0
PWR,Quanta Services,Industrials,Construction & Engineering,0001050915,Quanta Services,Industrials,Construction & Engineering,Texas,149577564.0
PYPL,PayPal,Financials,Transaction & Payment Processing Services,0001633917,PayPal,Financials,Transaction & Payment Processing Services,California,920000000.0
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,0002058873,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,Delaware,209800000.0
QCOM,Qualcomm,Information Technology,Semiconductors,0000804328,Qualcomm,Information Technology,Semiconductors,California,1074000000.0
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000884887,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Florida,274000000.0
RDDT,Reddit,Communication Services,Interactive Media & Services,0001713445,Reddit,Communication Services,Interactive Media & Services,California,202107978.0
REG,Regency Centers,Real Estate,Retail REITs,0000910606,Regency Centers,Real Estate,Retail REITs,Florida,182902234.0
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0000872589,Regeneron Pharmaceuticals,Health Care,Biotechnology,New York,108600000.0
RF,Regions Financial Corporation,Financials,Regional Banks,0001281761,Regions Financial Corporation,Financials,Regional Banks,Alabama,896000000.0
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0000720005,Raymond James Financial,Financials,Investment Banking & Brokerage,Florida,198139594.0
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0001037038,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,62300000.0
RMD,ResMed|,Health Care,Health Care Equipment,0000943819,ResMed|,Health Care,Health Care Equipment,California,146385350.0
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,0001024478,Rockwell Automation,Industrials,Electrical Components & Equipment,Wisconsin,112400000.0
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,0000084839,"Rollins, Inc.",Industrials,Environmental & Facilities Services,Georgia,481193751.0
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,0000882835,Roper Technologies,Information Technology,Electronic Equipment & Instruments,Florida,106600000.0
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0000745732,Ross Stores,Consumer Discretionary,Apparel Retail,California,322333000.0
RSG,Republic Services,Industrials,Environmental & Facilities Services,0001060391,Republic Services,Industrials,Environmental & Facilities Services,Arizona,312168000.0
RTX,RTX Corporation,Industrials,Aerospace & Defense,0000101829,RTX Corporation,Industrials,Aerospace & Defense,Massachusetts,1356400000.0
RVTY,Revvity,Health Care,Health Care Equipment,0000031791,Revvity,Health Care,Health Care Equipment,Massachusetts,112281000.0
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,0001034054,SBA Communications,Real Estate,Telecom Tower REITs,Florida,105666000.0
SBUX,Starbucks,Consumer Discretionary,Restaurants,0000829224,Starbucks,Consumer Discretionary,Restaurants,Washington,1136900000.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,0000316709,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,Texas,1809000000.0
SHW,Sherwin-Williams,Materials,Specialty Chemicals,0000089800,Sherwin-Williams,Materials,Specialty Chemicals,Ohio,247700000.0
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,0000091419,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,Ohio,106661858.0
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0000087347,Schlumberger,Energy,Oil & Gas Equipment & Services,Texas,1495331485.0
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",0001375365,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",California,594137000.0
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,0000091440,Snap-on,Industrials,Industrial Machinery & Supplies & Components,Wisconsin,53000000.0
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",0002023554,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",California,146000000.0
SNPS,Synopsys,Information Technology,Application Software,0000883241,Synopsys,Information Technology,Application Software,California,185994000.0
SO,Southern Company,Utilities,Electric Utilities,0000092122,Southern Company,Utilities,Electric Utilities,Georgia,1109000000.0
SOLV,Solventum,Health Care,Health Care Technology,0001964738,Solventum,Health Care,Health Care Technology,Minnesota,173490864.0
SPG,Simon Property Group,Real Estate,Retail REITs,0001063761,Simon Property Group,Real Estate,Retail REITs,Indiana,326366632.0
SPGI,S&P Global,Financials,Financial Exchanges & Data,0000064040,S&P Global,Financials,Financial Exchanges & Data,New York,298800000.0
